WorkerIndex,Treatment,WorkTimeInSeconds,Answer.output_buttons_b,Answer.output_feedback_b,Answer.question_order_b,Answer.retention_check,Answer.time_array_out_b,Answer.tutorial_save_b,Answer.verbal_feedback
48,B,347,"{""50"":0,""66"":0,""70"":0,""74"":0,""100"":0,""106"":0,""114"":0,""122"":0,""133"":0,""137"":0}",2,"[133,100,114,137,50,106,66,74,70,122]","If it were real life I'd like the gemstone, but I think it was one of the least valuable. Some were worth about $40, so I would like those best for the monetary value. I was paying more attention to the monetary value of the items than the individual items.","{""50"":8.928,""66"":6.88,""70"":8.271,""74"":8.089,""100"":9.488,""106"":6.432,""114"":9.176,""122"":9.768,""133"":23.053,""137"":7.784,""tutorial_2BC"":40.759,""tutorial_3BC"":3.603}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","In real life I would hope the bounty would be split more evenly. It seemed like it was usually pretty fair for me, but not always for the other pirates. Best wishes with your research!"
49,B,204,"{""35"":0,""58"":0,""63"":0,""64"":0,""65"":0,""88"":0,""92"":0,""101"":0,""108"":0,""130"":0}",1,"[63,64,92,108,65,88,58,101,35,130]",The necklace was really nice.,"{""35"":4.28,""58"":3.913,""63"":14.999,""64"":7.34,""65"":6.855,""88"":3.846,""92"":8.12,""101"":4.791,""108"":3.849,""130"":4.41,""tutorial_2BC"":23.464,""tutorial_3BC"":1.709}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","No comment, this was a great and fun task though. Thank you for allowing Mturk workers to help with research!"
50,B,674,"{""38"":1,""57"":0,""65"":0,""77"":0,""80"":0,""88"":0,""93"":0,""106"":0,""112"":0,""137"":0}",1,"[112,57,93,80,88,77,106,137,38,65]","Necklace, looked diamond","{""38"":4.743,""57"":17.717,""65"":3.836,""77"":5.893,""80"":4.825,""88"":9.28,""93"":15.569,""106"":5.04,""112"":18.873,""137"":3.828,""tutorial_2BC"":25.394,""tutorial_3BC"":4.609}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Seemed pretty straight forward
51,B,175,"{""43"":0,""45"":0,""60"":0,""65"":0,""70"":0,""74"":0,""108"":0,""112"":0,""128"":0,""134"":0}",1,"[70,128,74,134,45,60,112,108,43,65]","I honestly didn't look closely at the treasure items, I simply looked at the value and my cut of the share.  Would need to go back and look at them all closely to pick a favorite.","{""43"":1.613,""45"":2.902,""60"":3.124,""65"":2.341,""70"":15.19,""74"":3.317,""108"":1.651,""112"":1.694,""128"":3.832,""134"":2.874,""tutorial_2BC"":9.589,""tutorial_3BC"":1.962}","{""2A"":[],""2BC"":[3,2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Thank you and have a lovely spring.
52,B,880,"{""38"":0,""43"":0,""46"":0,""57"":0,""63"":0,""93"":0,""102"":0,""115"":0,""126"":0,""135"":0}",2,"[38,63,43,57,46,115,135,102,93,126]",Diamond,"{""38"":13.09,""43"":8.195,""46"":3.518,""57"":2.788,""63"":3.191,""93"":3.47,""102"":2.054,""115"":6.086,""126"":3.146,""135"":2.067,""tutorial_2BC"":8.068,""tutorial_3BC"":1.205}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",thanks
53,B,517,"{""46"":0,""50"":0,""56"":0,""58"":0,""67"":0,""80"":0,""112"":0,""114"":0,""115"":0,""120"":0}",1,"[56,120,46,58,112,80,67,114,115,50]",blue diamond,"{""46"":7.587,""50"":10.846,""56"":12.004,""58"":8.571,""67"":2.85,""80"":4.096,""112"":3.904,""114"":4.577,""115"":6.916,""120"":18.145,""tutorial_2BC"":22.224,""tutorial_3BC"":2.655}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
54,B,365,"{""45"":1,""65"":0,""70"":0,""98"":0,""102"":0,""107"":0,""109"":0,""113"":0,""120"":0,""129"":0}",2,"[102,45,70,65,113,120,107,129,98,109]",Diamond,"{""45"":19.558,""65"":6.664,""70"":42.674,""98"":4.608,""102"":52.193,""107"":8.416,""109"":6.4,""113"":10.512,""120"":14.408,""129"":14.374,""tutorial_2BC"":73.237,""tutorial_3BC"":11.689}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
55,B,218,"{""38"":1,""50"":0,""72"":1,""84"":0,""86"":0,""99"":0,""115"":1,""116"":0,""126"":0,""137"":0}",3,"[126,99,86,50,84,115,38,137,116,72]",Rum,"{""38"":5.568,""50"":10.336,""72"":9.379,""84"":5.591,""86"":16.424,""99"":11.624,""115"":22.873,""116"":6.733,""126"":24.081,""137"":4.855,""tutorial_2BC"":30.536,""tutorial_3BC"":5.295}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Interesting choices to be made!
56,B,227,"{""43"":0,""46"":0,""66"":0,""70"":0,""72"":1,""79"":1,""84"":0,""87"":1,""120"":1,""137"":0}",1,"[66,46,87,43,137,120,79,70,72,84]","diamonds, because they are pretty.","{""43"":3.751,""46"":2.773,""66"":7.932,""70"":2.374,""72"":2.955,""79"":2.368,""84"":2.638,""87"":5.729,""120"":3.118,""137"":2.462,""tutorial_2BC"":7.613,""tutorial_3BC"":1.159}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",fun and simple task.
57,B,449,"{""52"":0,""53"":0,""56"":0,""58"":0,""81"":0,""87"":0,""92"":0,""93"":0,""119"":0,""127"":0}",1,"[52,58,93,81,127,53,92,119,87,56]",basketball,"{""52"":39.084,""53"":5.32,""56"":4.557,""58"":20.649,""81"":13.181,""87"":5.26,""92"":4.5,""93"":26.408,""119"":4.096,""127"":4.762,""tutorial_2BC"":55.592,""tutorial_3BC"":6.689}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",n/a
58,B,148,"{""39"":0,""45"":1,""51"":0,""64"":0,""66"":0,""88"":0,""105"":0,""107"":0,""119"":0,""134"":0}",1,"[64,88,66,105,51,39,45,134,119,107]",necklace,"{""39"":4.761,""45"":5.319,""51"":3.495,""64"":17.449,""66"":7.448,""88"":8.679,""105"":3.985,""107"":3.28,""119"":3.544,""134"":7.704,""tutorial_2BC"":30.008,""tutorial_3BC"":3.623}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",nice and fast
59,B,317,"{""43"":0,""45"":0,""57"":0,""73"":0,""79"":0,""95"":0,""107"":0,""112"":1,""126"":0,""137"":1}",2,"[126,45,107,137,43,112,79,73,57,95]",The stack of silver bars.,"{""43"":12.219,""45"":23.235,""57"":5.464,""73"":5.847,""79"":47.296,""95"":16.704,""107"":12.912,""112"":5.561,""126"":44.177,""137"":10.12,""tutorial_2BC"":35.355,""tutorial_3BC"":3.211}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","often my share was fair, although the distribution was not."
60,B,509,"{""36"":0,""46"":0,""52"":1,""56"":0,""79"":1,""86"":0,""102"":0,""105"":0,""115"":1,""134"":0}",3,"[46,102,52,79,134,86,56,115,36,105]","Necklace, Diamond, Trophy","{""36"":73.297,""46"":30.042,""52"":25.072,""56"":9.253,""79"":11.666,""86"":8.229,""102"":8.453,""105"":25.58,""115"":44.853,""134"":70.533,""tutorial_2BC"":20.104,""tutorial_3BC"":3.949}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","Innovative survey, like the concept."
61,C,109,"{""39"":0,""44"":1,""63"":3,""64"":3,""81"":0,""93"":2,""101"":2,""108"":3,""119"":0,""120"":1}",1,"[44,39,81,101,63,93,64,108,120,119]",I liked the bars of silver.,"{""39"":6.496,""44"":12.55,""63"":3.8,""64"":3.999,""81"":4.272,""93"":3.504,""101"":3.712,""108"":3.672,""119"":3.296,""120"":4.048,""tutorial_2BC"":18.776,""tutorial_3BC"":4.69}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",This was very fun.   Thank you.
62,C,175,"{""39"":0,""42"":1,""43"":3,""59"":3,""80"":2,""84"":3,""93"":2,""95"":0,""127"":1,""128"":3}",1,"[59,128,80,127,84,93,43,39,95,42]",rum,"{""39"":5.103,""42"":6.013,""43"":4.953,""59"":31.464,""80"":9.127,""84"":8.439,""93"":7.028,""95"":4.765,""127"":7.954,""128"":10.533,""tutorial_2BC"":21.433,""tutorial_3BC"":2.703}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",It was fun
63,C,255,"{""35"":0,""36"":2,""42"":1,""53"":2,""66"":2,""79"":2,""107"":1,""120"":0,""122"":1,""137"":0}",3,"[53,137,107,122,35,79,120,36,66,42]",necklace,"{""35"":10.005,""36"":15.821,""42"":22.837,""53"":13.051,""66"":16.799,""79"":4.124,""107"":12.065,""120"":10.199,""122"":12.283,""137"":15.215,""tutorial_2BC"":35.82,""tutorial_3BC"":3.149}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
64,C,252,"{""49"":0,""57"":3,""58"":3,""74"":0,""79"":3,""80"":0,""92"":0,""115"":1,""119"":0,""123"":0}",2,"[58,123,79,92,80,115,74,49,119,57]","I didn't have a specific favorite, I judged them by value. I liked the look of the silver bars","{""49"":7.176,""57"":5.155,""58"":65.126,""74"":5.106,""79"":14.591,""80"":5.787,""92"":4.999,""115"":7.731,""119"":3.33,""123"":10.975,""tutorial_2BC"":34.341,""tutorial_3BC"":5.009}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",No comments
65,C,302,"{""37"":0,""43"":3,""46"":0,""56"":0,""58"":2,""73"":3,""101"":2,""120"":1,""126"":2,""137"":0}",1,"[101,73,137,58,46,120,37,126,43,56]",i LIKE THE SILVER BARS,"{""37"":6.852,""43"":8.672,""46"":11.968,""56"":9.336,""58"":13.724,""73"":15.276,""101"":36.469,""120"":8.716,""126"":10.312,""137"":36.819,""tutorial_2BC"":33.048,""tutorial_3BC"":5.507}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",NO COMMENT OR QUESTIONS CONCERNING THE SURVEY.
66,C,166,"{""37"":2,""38"":3,""51"":2,""81"":0,""85"":1,""108"":3,""112"":1,""116"":0,""126"":2,""127"":1}",2,"[51,38,126,37,108,127,116,85,81,112]",Rum,"{""37"":5.452,""38"":6.46,""51"":15.505,""81"":5.096,""85"":9.03,""108"":9.127,""112"":5.739,""116"":4.726,""126"":5.91,""127"":5.65,""tutorial_2BC"":22.094,""tutorial_3BC"":2.652}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","No questions, it all went very smoothly."
67,C,294,"{""39"":0,""43"":3,""58"":2,""67"":0,""70"":2,""73"":3,""79"":3,""87"":2,""99"":2,""133"":0}",1,"[99,67,39,70,133,43,73,79,87,58]",the blue jewel,"{""39"":11.654,""43"":10.224,""58"":7.154,""67"":19.021,""70"":10.598,""73"":8.133,""79"":11.094,""87"":7.182,""99"":24.54,""133"":8.078,""tutorial_2BC"":51.069,""tutorial_3BC"":2.55}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Can you keep a lower value treasure if it has items you like?
68,C,174,"{""63"":3,""79"":3,""81"":0,""85"":1,""86"":2,""87"":2,""99"":2,""112"":1,""115"":1,""123"":0}",2,"[81,85,115,112,63,99,87,123,79,86]",silver,"{""63"":5.791,""79"":3.718,""81"":21.736,""85"":10.256,""86"":3.807,""87"":3.579,""99"":15.246,""112"":5.14,""115"":11.178,""123"":7.802,""tutorial_2BC"":27.839,""tutorial_3BC"":1.762}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",n/a
69,C,592,"{""35"":2,""39"":0,""43"":3,""50"":1,""59"":3,""74"":0,""77"":2,""80"":0,""86"":2,""100"":2}",1,"[59,80,77,100,50,43,86,74,35,39]",Didn't have a favorite as I went by total value,"{""35"":3.891,""39"":3.673,""43"":5.394,""50"":4.417,""59"":11.792,""74"":3.894,""77"":7.07,""80"":10.575,""86"":4.087,""100"":10.184,""tutorial_2BC"":89.486,""tutorial_3BC"":3.246}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",easy to understand
70,C,344,"{""50"":0,""53"":0,""80"":0,""84"":0,""109"":0,""114"":0,""121"":2,""126"":0,""129"":0,""134"":1}",2,"[84,134,129,109,114,50,80,121,53,126]",Diamond,"{""50"":9.751,""53"":5.64,""80"":10.6,""84"":83.043,""109"":10.112,""114"":8.048,""121"":9.45,""126"":7.486,""129"":14.944,""134"":31.247,""tutorial_2BC"":40.024,""tutorial_3BC"":4.027}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Fun survey
71,C,212,"{""38"":2,""51"":3,""53"":0,""58"":0,""77"":0,""98"":0,""99"":0,""102"":0,""113"":2,""122"":0}",3,"[99,102,122,98,38,51,58,77,113,53]",I  liked the diamond necklace.,"{""38"":6.68,""51"":6.512,""53"":4.223,""58"":6.512,""77"":6.809,""98"":5.696,""99"":39.652,""102"":7.816,""113"":5.423,""122"":6.592,""tutorial_2BC"":20.071,""tutorial_3BC"":3.79}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Fun experience.
72,C,374,"{""38"":3,""44"":1,""49"":3,""53"":0,""65"":3,""66"":2,""85"":1,""109"":0,""133"":0,""134"":1}",1,"[85,44,49,109,134,66,65,133,38,53]",I didn't have one,"{""38"":13.526,""44"":17.79,""49"":14.613,""53"":66.695,""65"":3.975,""66"":7.095,""85"":30.435,""109"":11.271,""133"":5.335,""134"":5.608,""tutorial_2BC"":25.901,""tutorial_3BC"":1.8}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I have no comment
73,C,185,"{""50"":1,""52"":2,""60"":0,""63"":3,""74"":0,""79"":3,""84"":0,""100"":2,""106"":0,""136"":1}",2,"[136,106,100,50,63,74,79,60,52,84]",rum,"{""50"":6.481,""52"":6.126,""60"":4.93,""63"":6.169,""74"":6.736,""79"":6.297,""84"":5.161,""100"":15.712,""106"":10.764,""136"":18.283,""tutorial_2BC"":27.654,""tutorial_3BC"":2.813}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",easy to understand and complete
74,C,291,"{""45"":1,""57"":3,""58"":2,""63"":3,""72"":2,""113"":1,""123"":0,""126"":2,""130"":0,""136"":1}",1,"[130,57,63,113,58,126,123,136,72,45]",any of the higher values items,"{""45"":12.617,""57"":14.762,""58"":9.065,""63"":8.377,""72"":8.833,""113"":12.321,""123"":8.785,""126"":8.329,""130"":52.771,""136"":7.872,""tutorial_2BC"":37.02,""tutorial_3BC"":3.41}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",odd survey
75,C,331,"{""38"":3,""44"":1,""56"":0,""57"":3,""74"":1,""85"":1,""98"":0,""128"":3,""129"":2,""137"":0}",3,"[137,98,38,56,128,85,74,44,129,57]",The Map,"{""38"":39.672,""44"":9.301,""56"":6.127,""57"":29.92,""74"":14.135,""85"":5.617,""98"":53.154,""128"":7.507,""129"":6.567,""137"":27.898,""tutorial_2BC"":39.62,""tutorial_3BC"":13.024}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I often wondered what the future value would be of the items.
76,C,90,"{""44"":1,""49"":3,""60"":0,""70"":1,""87"":2,""107"":3,""113"":1,""116"":1,""134"":1,""136"":1}",3,"[87,113,70,44,116,134,60,136,49,107]",the gem stone,"{""44"":1.533,""49"":1.533,""60"":3.594,""70"":1.533,""87"":12.617,""107"":1.534,""113"":3.519,""116"":2.319,""134"":1.612,""136"":1.36,""tutorial_2BC"":14.38,""tutorial_3BC"":1.311}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",interesting and fun study!
77,C,219,"{""35"":2,""36"":1,""56"":0,""73"":3,""78"":3,""101"":2,""109"":0,""114"":1,""123"":0,""128"":3}",3,"[123,78,101,73,35,114,109,56,36,128]",Diamond Necklace,"{""35"":11.316,""36"":3.139,""56"":5.177,""73"":17.393,""78"":21.758,""101"":26.001,""109"":3.647,""114"":3.321,""123"":25.987,""128"":2.63,""tutorial_2BC"":29.004,""tutorial_3BC"":1.28}","{""2A"":[],""2BC"":[3,2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
78,C,465,"{""44"":1,""57"":0,""73"":3,""74"":0,""84"":0,""85"":1,""87"":0,""105"":0,""109"":0,""121"":3}",3,"[74,84,109,85,105,73,87,121,57,44]",Diamond,"{""44"":12.793,""57"":16.255,""73"":14.796,""74"":33.153,""84"":46.903,""85"":17.867,""87"":12.044,""105"":9.637,""109"":14.633,""121"":15.936,""tutorial_2BC"":70.476,""tutorial_3BC"":5.312}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Its really a nice and unique experiment i have ever participated. Thank you.
79,C,205,"{""37"":2,""50"":1,""52"":2,""63"":3,""71"":1,""88"":1,""95"":0,""100"":2,""115"":1,""119"":0}",1,"[52,100,88,63,119,50,95,115,37,71]",The rum crate !,"{""37"":1.966,""50"":2.574,""52"":24.333,""63"":3.003,""71"":5.333,""88"":4.217,""95"":2.252,""100"":5.238,""115"":2.362,""119"":2.653,""tutorial_2BC"":11.948,""tutorial_3BC"":1.281}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
80,C,244,"{""36"":1,""45"":1,""64"":3,""74"":0,""101"":0,""105"":0,""119"":0,""128"":3,""135"":0,""137"":0}",1,"[36,128,74,135,101,45,64,137,119,105]",none?,"{""36"":28.54,""45"":4.602,""64"":5.933,""74"":5.882,""101"":43.73,""105"":7.232,""119"":3.971,""128"":10.946,""135"":4.226,""137"":11.401,""tutorial_2BC"":52.063,""tutorial_3BC"":5.541}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",nope
81,C,332,"{""46"":0,""50"":1,""58"":2,""70"":1,""93"":2,""101"":2,""102"":0,""120"":1,""122"":3,""133"":0}",1,"[58,122,46,101,70,133,93,50,120,102]","The diamond, but I was more focused on achieving the highest total value.","{""46"":9.202,""50"":6.459,""58"":27.514,""70"":6.865,""93"":7.352,""101"":7.92,""102"":6.602,""120"":10.238,""122"":13.586,""133"":4.942,""tutorial_2BC"":44.042,""tutorial_3BC"":4.356}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Everything worked smoothly.
82,C,483,"{""43"":3,""49"":3,""59"":3,""66"":2,""71"":1,""88"":0,""100"":2,""119"":0,""123"":0,""128"":2}",2,"[128,49,59,100,123,88,66,43,71,119]",I like the basketball more than anything else.,"{""43"":5.834,""49"":12.74,""59"":13.618,""66"":5.453,""71"":5.004,""88"":5.622,""100"":5.182,""119"":17.984,""123"":10.148,""128"":41.118,""tutorial_2BC"":86.318,""tutorial_3BC"":3.284}","{""2A"":[],""2BC"":[3,2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",The assignment was interesting and fun!
83,C,335,"{""38"":0,""49"":3,""52"":2,""67"":0,""86"":2,""109"":0,""114"":1,""120"":1,""133"":0,""134"":1}",3,"[49,86,67,52,134,133,38,120,109,114]",ball,"{""38"":7.712,""49"":50.865,""52"":4.768,""67"":5.487,""86"":8.466,""109"":4.096,""114"":4.656,""120"":5.592,""133"":5.367,""134"":5.072,""tutorial_2BC"":83.305,""tutorial_3BC"":5.469}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",interesting
84,C,304,"{""46"":0,""59"":3,""74"":0,""77"":2,""92"":2,""105"":0,""107"":3,""113"":1,""135"":1,""136"":1}",2,"[105,107,74,113,92,59,77,136,46,135]",diamond,"{""46"":6.466,""59"":7.792,""74"":8.728,""77"":8.58,""92"":7.846,""105"":32.881,""107"":24.092,""113"":13.524,""135"":6.59,""136"":11.208,""tutorial_2BC"":29.553,""tutorial_3BC"":5.875}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",no comments
85,C,473,"{""46"":0,""58"":2,""65"":3,""66"":2,""77"":2,""85"":1,""87"":2,""88"":0,""113"":1,""119"":0}",1,"[88,87,113,65,85,77,119,58,66,46]",The rum,"{""46"":4.327,""58"":6.36,""65"":7.422,""66"":3.193,""77"":8.521,""85"":8.834,""87"":19.4,""88"":34.63,""113"":15.8,""119"":5.079,""tutorial_2BC"":103.743,""tutorial_3BC"":4.938}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",n/a
86,C,404,"{""52"":2,""95"":0,""105"":2,""106"":3,""108"":0,""116"":0,""119"":0,""120"":1,""128"":3,""135"":1}",1,"[106,135,105,120,116,119,128,52,108,95]","Mostly I like pirate 3, like Diamond, Gold...etc","{""52"":5.032,""95"":9.328,""105"":24.512,""106"":46.117,""108"":8.256,""116"":3.968,""119"":5.44,""120"":10,""128"":4.088,""135"":20.256,""tutorial_2BC"":82.312,""tutorial_3BC"":7.034}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I like this game.
87,C,239,"{""37"":2,""63"":3,""66"":2,""67"":0,""94"":2,""95"":0,""105"":2,""106"":3,""120"":1,""128"":3}",2,"[105,95,67,120,63,128,106,37,94,66]",no favorite,"{""37"":2.918,""63"":3.005,""66"":2.558,""67"":2.666,""94"":2.097,""95"":3.262,""105"":13.954,""106"":2.967,""120"":2.881,""128"":2.37,""tutorial_2BC"":22.224,""tutorial_3BC"":2.624}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",-
88,C,212,"{""44"":1,""60"":1,""63"":0,""65"":3,""66"":2,""74"":0,""78"":1,""84"":3,""94"":2,""127"":1}",3,"[63,127,66,74,78,94,65,44,84,60]",I liked them all,"{""44"":3.144,""60"":2.925,""63"":18.82,""65"":2.626,""66"":3.063,""74"":3.048,""78"":3.548,""84"":2.151,""94"":3.8,""127"":5.637,""tutorial_2BC"":9.078,""tutorial_3BC"":2.518}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
89,C,165,"{""42"":1,""43"":3,""45"":1,""72"":2,""95"":0,""116"":0,""120"":1,""126"":2,""129"":2,""135"":1}",1,"[95,120,116,129,42,43,72,135,126,45]",necklace,"{""42"":7.07,""43"":10.244,""45"":7.67,""72"":6.313,""95"":12.906,""116"":9.136,""120"":10.602,""126"":6.33,""129"":5.991,""135"":10.241,""tutorial_2BC"":29.586,""tutorial_3BC"":3.686}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
90,C,108,"{""38"":3,""46"":0,""63"":3,""67"":0,""79"":3,""86"":2,""113"":1,""120"":1,""122"":3,""126"":2}",1,"[120,46,67,79,63,38,113,122,86,126]",treasure map,"{""38"":4.134,""46"":5.882,""63"":3.674,""67"":4.558,""79"":4.607,""86"":2.474,""113"":3.564,""120"":17.815,""122"":4.254,""126"":2.962,""tutorial_2BC"":14.539,""tutorial_3BC"":2.491}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",no comment
91,D,402,"{""36"":1,""37"":1,""66"":1,""70"":1,""93"":1,""109"":1,""115"":1,""119"":1,""120"":1,""130"":1}",1,"[36,119,37,109,70,115,120,93,66,130]",the jewels,"{""36"":11.095,""37"":10.441,""66"":3.184,""70"":2.815,""93"":4.616,""109"":3.991,""115"":2.879,""119"":10.483,""120"":2.706,""130"":3.213,""tutorial_2DE"":23.822,""tutorial_3DE"":4.89,""tutorial_4DE"":9.545,""tutorial_5DE"":1.626}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}","every single time i was getting scammed, so i had no choice but to say they are all unfair.  i mainly went by how the others valued my share."
92,D,599,"{""43"":1,""81"":0,""87"":0,""91"":1,""93"":0,""119"":1,""120"":1,""129"":0,""135"":1,""137"":1}",1,"[87,135,43,129,119,137,81,93,120,91]",diamond,"{""43"":30.816,""81"":15.936,""87"":36.15,""91"":24.72,""93"":16.952,""119"":14.096,""120"":22.328,""129"":12.592,""135"":53.896,""137"":20.928,""tutorial_2DE"":111.256,""tutorial_3DE"":36.76,""tutorial_4DE"":20.024,""tutorial_5DE"":20.194}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",Thanks
93,D,172,"{""49"":0,""58"":0,""60"":0,""72"":1,""73"":1,""78"":0,""87"":0,""91"":0,""92"":0,""116"":0}",2,"[87,72,73,116,78,91,60,58,92,49]",none,"{""49"":6.347,""58"":2.078,""60"":3.196,""72"":5.803,""73"":3.23,""78"":7.707,""87"":9.612,""91"":2.346,""92"":2.518,""116"":2.569,""tutorial_2DE"":8.01,""tutorial_3DE"":9.254,""tutorial_4DE"":14.754,""tutorial_5DE"":2.209}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,3],""5DE"":[]}",none
